iter	Accuracy	MultiClass
0	0.02893467777	5.077726415
1	0.03149203566	4.873443543
2	0.03821423352	4.754468675
3	0.0419406693	4.665817555
4	0.04895513664	4.58823747
5	0.05443518924	4.504688002
6	0.05991524185	4.458195655
7	0.0657606313	4.418904122
8	0.07145988601	4.364694676
9	0.07708607336	4.323474544
10	0.08168931755	4.279234791
11	0.08738857226	4.244890387
12	0.08870378489	4.201588298
13	0.09469530907	4.162477681
14	0.1047055385	4.10168426
15	0.1120122753	4.052537364
16	0.1215110332	4.012939487
17	0.1285255005	3.9813183
18	0.1313751279	3.970153668
19	0.1369282478	3.933467269
20	0.1459886015	3.893282955
21	0.1491304983	3.871136901
22	0.1556334941	3.837753687
23	0.1587753909	3.822263385
24	0.1629402309	3.803102182
25	0.1671050709	3.775078506
26	0.1713429782	3.749138519
27	0.1725120561	3.746361642
28	0.1771883677	3.72294447
29	0.1801841298	3.707870976
30	0.1834721613	3.693164561
31	0.1893906181	3.663635465
32	0.1915095718	3.647781019
33	0.1924594476	3.644188006
34	0.1943591992	3.623448146
35	0.1996200497	3.60336136
36	0.2031272834	3.579700409
37	0.2098494812	3.557322001
38	0.2144527254	3.531603611
39	0.219129037	3.513992969
40	0.2237322812	3.492394293
41	0.2247552243	3.489494747
42	0.226874178	3.479564615
43	0.2279701885	3.473237305
44	0.2316235569	3.456628487
45	0.2333771738	3.446939206
46	0.2377612158	3.425825735
47	0.2380534853	3.410269562
48	0.2435335379	3.387468928
49	0.2494519947	3.363373098
50	0.2504749379	3.346955769
51	0.2568317989	3.330240053
52	0.2574894052	3.328448425
53	0.2596814263	3.311551449
54	0.2638462663	3.294699999
55	0.2666958936	3.282570459
56	0.2684495104	3.267827658
57	0.2718106094	3.256259645
58	0.2749525062	3.239998768
59	0.2760485167	3.229453581
60	0.2765599883	3.227842214
61	0.2790442788	3.210269792
62	0.2824053778	3.194384309
63	0.2847435335	3.176324408
64	0.2912465293	3.158525923
65	0.2926348093	3.145831616
66	0.2958497735	3.130929737
67	0.2973111209	3.123941167
68	0.298334064	3.122547078
69	0.3043986556	3.102762636
70	0.3081250913	3.09159825
71	0.3103171124	3.080141403
72	0.3125822008	3.073577236
73	0.3163817039	3.063858043
74	0.3180622534	3.051593188
75	0.319962005	3.04543557
76	0.3225924302	3.036395709
77	0.3270495397	3.019157028
78	0.3312143797	3.007703773
79	0.3369867017	2.985079971
80	0.3393248575	2.964100595
81	0.3422475522	2.950692341
82	0.3454625164	2.941093918
83	0.3453894491	2.937595121
84	0.3478006722	2.92824796
85	0.347946807	2.922335469
86	0.3527692533	2.903805011
87	0.3562764869	2.890927455
88	0.3597837206	2.876189306
89	0.3650445711	2.859905829
90	0.3665059185	2.852778697
91	0.3748355984	2.835756779
92	0.377539091	2.829191659
93	0.3821423352	2.810885438
94	0.3868917142	2.793934715
95	0.3903258805	2.782520159
96	0.396390472	2.764156593
97	0.3984363583	2.758024812
98	0.403331872	2.745482776
99	0.4055969604	2.736987372
