iter	Passed	Remaining
0	1763	174597
1	3088	151326
2	4425	143104
3	5741	137785
4	7260	137950
5	8535	133721
6	9933	131967
7	11514	132418
8	13011	131564
9	14405	129647
10	15810	127920
11	17073	125206
12	18270	122270
13	19406	119211
14	20653	117038
15	21988	115441
16	23316	113839
17	24506	111640
18	25860	110248
19	27373	109493
20	28923	108808
21	29966	106246
22	31070	104018
23	32171	101875
24	33314	99944
25	34477	98128
26	35631	96336
27	36853	94766
28	38026	93099
29	39215	91501
30	40355	89823
31	41439	88058
32	42565	86419
33	43757	84941
34	45031	83629
35	46164	82070
36	47261	80472
37	48351	78888
38	49546	77495
39	50610	75915
40	51738	74452
41	52972	73151
42	54049	71646
43	55164	70209
44	56277	68783
45	57359	67334
46	58454	65917
47	59617	64585
48	60822	63305
49	62036	62036
50	63178	60700
51	64318	59370
52	65443	58035
53	66512	56658
54	67618	55324
55	68697	53976
56	69857	52699
57	70985	51403
58	72013	50043
59	73099	48732
60	74192	47434
61	75286	46143
62	76391	44865
63	77418	43548
64	78515	42277
65	79610	41011
66	80900	39846
67	82025	38600
68	83127	37347
69	84248	36106
70	85308	34844
71	86609	33681
72	87667	32424
73	88800	31200
74	89873	29957
75	90918	28711
76	92096	27509
77	93197	26286
78	94415	25097
79	96061	24015
80	97581	22889
81	98980	21727
82	100378	20559
83	101652	19362
84	103090	18192
85	104459	17004
86	106022	15842
87	107360	14640
88	108965	13467
89	110365	12262
90	111866	11063
91	113212	9844
92	114311	8604
93	115401	7366
94	116506	6131
95	117603	4900
96	118720	3671
97	119796	2444
98	120888	1221
99	121958	0
